date,state,index
2020-03-27,SD,-0.01083866775402004
2020-03-27,TN,0.006027568432326496
2020-03-27,TX,0.11739801682371113
2020-03-27,UT,-0.021871511819378745
2020-03-27,VA,0.00751872433032538
2020-03-27,VT,0.014583086465501946
2020-03-27,WA,0.20339512661463421
2020-03-27,WI,0.15419722260811689
2020-03-27,WV,0.04718420656580461
2020-03-27,WY,5.096713337449146e-4
2020-03-28,AK,0.003932664745382949
2020-03-28,AL,-0.010664173342886281
2020-03-28,AR,0.0026524058428983414
2020-03-28,AZ,-0.04994563172593479
2020-03-28,CA,1.0407693043767732
2020-03-28,CO,0.15353799247313443
2020-03-28,CT,0.016116840549233034
2020-03-28,DC,0.008650870570595902
2020-03-28,DE,0.01858329759019708
2020-03-28,FL,-0.07838576460211603
2020-03-28,GA,-0.07031460492675642
